index,text,type
0,India sends 34 member medical team to Nepal http://t.co/MQNBIbrQN2,1
1,"RT @HariNYT: India 10 NDRF teams, 400 ppl, in Nepal r equipped with sniffer dogs, steel&amp; concrete cutters, sensors to detect dead/alive, fi…",1
2,"Israel has elite search, rescue teams, field hospital on standby. Why refuse manpower when minutes matter?
https://t.co/hNvNHSVLmL
@ItalyMFA",1
3,RT @TanuDolly: Emergency hospital on road nepal #earthquake http://t.co/I0DFYiDErY,0
4,"#Nepal : glad to hear from more friends in #Kathmandu . Internet is back, but great shortage of #water and #power, they say. #earthquake",0
5,"RT @srilankaglobal: #SriLanka Air Force to fly doctors, paramedics, medicines, equipment to #Nepal #NepalEarthquake #NepalQuake http://t.co…",1
6,"Italy quake. Young girl found alive under rubble, but at least 247 dead. ShelterBox team arriving today. https://t.co/fqgE5H4b1z",1
7,"RT @dna: Live | Nepal Earthquake: Death toll exceeds 5000; power cut, lack of communications hamper relief efforts http://t.co/NOrC9kdW6O",0
8,"#Covid19 update #Maharashtra, June 26, 2020!!  5024 positive cases &amp; 175 deaths recorded today. Tally positive cases 1,52,765.  ( 91 deaths in last 48 hours &amp;  84 deaths of previous dates but recorded today). Death toll 7106.",2
9,"#Artofliving #Nepal #Earthquake #Relief
Besides supplying relief items, Trauma relief camps being conducted at... http://t.co/GoViCfatzy",1
10,"No Internet, no communication to the external world. This #Nepal #Earthquake and aftershocks are really terrible",0
11,"@atiksagri bhai thoda article padha karo, he was in Bangkok in the time of earthquake. @sudhirchaudhary @zeenews",2
12,Thoughts with all those involved in the Italian  earthquake.🙏,2
13,"#SIMMSA #EARTHQUAKE 
PRELIMINARY DATA: 6.3Mw
CENTRAL #ITALY 
2016-08-24, 01:36:34 UTC
DEPTH: 5 km. https://t.co/1kjhuliYPr",2
14,RT @BloodConnect01: Kathmandu hospitals struggling after Nepal earthquake. Generous Blood donors needed asap. RT @BloodDonorsIn http://t.co…,0
15,Nepal earthquake: Cuba says it will send 48-member medical team http://t.co/EBI4tSJfnf,1
16,Scientific Reason Behind The Nepal`s Powerful Earthquake | https://t.co/YdGZ52aInH via @YouTube,2
17,Nepal Earthquake : Medical team sent to Nepal from Himachal: Union Health and Family Welfare Minister JP Nadda... http://t.co/91lzuwOPfm,1
18,"Nepal earthquake: Urgent need for water, sanitation and food: http://t.co/4z7ycAL7IC",0
19,"M6.2 - 10km SE of Norcia, Italy - USGS Earthquake Hazards Program",2
20,"RT @anilkapur_: 4 Tonne relief materials carrying food &amp; medicines
Earth excavation equipments have been sent to Nepal from India http://t.…",1
21,Inside the Inflatable Hospital That’s Saving Lives in Nepal http://t.co/uYuMdhjJ91 #Nepal_Earthquake,1
22,"RT @Me_Physio: We dont need money All we need is food,water N Medicine ,Help My people of Nepal,instead of donating money help them by send…",0
23,#Sismo ML 3.8  NORTHERN ALASKA: Magnitude  ML 3.8Region  NORTHERN ALASKADate time  2016-08-24   11:... https://t.co/39KhX6fxCW #CSismica,2
24,Seems so pitifully wasteful - praying for all those affected #Italy #earthquake,2
25,Nepal Earthquake: Indian Army Doctors Provide First Health Report: http://t.co/sB99DzJ4kL via @YouTube,1
26,Nepal earthquake: Nepal needs 1 million tents for temporary rehabilitation - The Hindu http://t.co/zM8rqdHGep,0
27,A Indian Air Force helicopter flies with relief material to be droped at earthquake affected areas in… https://t.co/1mzBaV7M7s,1
28,"A really interesting coverage on the costs of available drugs for #COVID19. Thanks @Milan_reports @sardesairajdeep. Remdesivir, Favipiravir, Ivermectin, Antibiotics, PALM strategy from TN @sandhyaravishan @icart_india. https://t.co/kLBKIe0KjL",2
29,ShelterBox team to Italy within 24 hrs. Ready to help after quake. In touch with Rotary and affiliate colleagues. https://t.co/v5RdWh42BS,1
30,Our support to all families affected by the earthquake in Italy. Donate Italian Red Cross: https://t.co/gln9IciljB https://t.co/2kb7VpXM8N,0
31,"an alarm training button,in cage,cats push button, wifi alarm in house says, hey dummy hooman, get me out earthquake https://t.co/5lgvLrBllk",0
32,"Blankets are on their way to Nepal from Victoria.
Stay strong Nepal. We are with you.

Victorians Stand Together For Nepal",1
33,"People are in need for tents everywhere, we are failing to meet their demands #frustrating# nepal earthquake #scatteredreliefwork",0
34,@AmazonHelp @CEOofsamsung @SamsungIndia @SamsungMobile Hi got purchase a handset Galaxy M 40 in July 19 which is under warranty but not able to get it repaired within day as service center asking for 3 days since a small mike problem ..I don't have any other set as current situation ...,0
35,"Supporting earthquake survivors in Bhaktapur

As part of Sneha Campaign, Women Rehabilitation Center (WOREC) and... http://t.co/CAcWC7JWWV",2
36,"LAST DAY : NEPAL EARTHQUAKE RELIEF CAMP
Please donate Clothes, Blankets, Biscuit, other food items etc. at our... http://t.co/5rYruxrIJ7",0
37,"Eight million people have been affected by the massive earthquake in Nepal, and 1.4 million are in need of food... http://t.co/wkYAJOKA69",0
38,3Novices:On Board an Indian Air Force Chopper Mission in Earthquake-Hit Nepal http://t.co/lC8LwORMQZ Indian Air Force helicopters are res…,1
39,"""RSS JANKALYAN SAMITI"" has started ""Earthquake Relief Centre"" at Kai. Vamanrao Oak Blood Bank Thane. 
Donation... http://t.co/WW9h1oAeWG",2
40,save the #earthquake #survivors Help out! Give to Nepal Relief Fund -for Food and Water need urgent http://t.co/p61KNiTp5x.  #donate #donate,0
41,"RT @indiawater: Acute crisis of water, power &amp; medical facilities in Nepal after earthquake. This and more water news from last week http:/…",0
42,"COVID19 in Pakistan\nWell, we have something to cheer about in these worst times, active cases are continuously dropping while recoveries are climbing. This indicates we are not far from our peak!\n\n#CoronaVirusPakistan #Covid_19 https://t.co/7vq2m15Y8a",2
43,(Wired UK):#Italian #Red Cross urges people to disable Wi-Fi passwords after devastating earthquake : A.. https://t.co/6OZmfDFnjb,0
44,Italian Red Cross is on the ground with search and rescue teams and sniffer dogs after a 6.2 magnitude earthquake. https://t.co/Bujn0qPb49,1
45,"Today in history: Aug 24 A.D79 Mount Vesuvius near Pompeii, Italy begins to erupt on this day.
Today: #Earthquake in #Amatrice #PrayforItaly",2
46,Italian earthquake news is heart breaking. Thoughts with all surviving and this not.,2
47,RT @pacified_devil: Distribution of food to kharanitar VDC frm #islington_college #nepalquake #relief #earthquake http://t.co/0UejuUAPau,1
48,"People desperate for food, medicine, shelter from #Nepalearthquake. At least 1,900 people are dead. #earthquake",0
49,Nepal facing acute shortage of water due to the earthquake and the Delhi Police having to use water cannons in order to pacify the crowd.,0
50,"At least 1,100 teams comprising two members each formed to conduct mega exercise to screen Delhi's population for #COVID19: Officials",2
51,"Golden Temple to send 100,000 and Delhi Gurdwaras to send 25,000 meals daily to Nepal in earthquake affected areas. 
#earthquake #Nepal",1
52,"RT @DrManishKumar1: Indian Govt's prompt response to disaster in Nepal makes us feel Proud. Low Call-Rates, Doctors, Medicine, Food,water +…",1
53,Salvationist: The #SalvationArmy is preparing to assist people in need after devastating #ItalyEarthquake: https://t.co/Rocow9nxoq,1
